trackId,initialFrame,finalFrame,Frame_nums,width,length,class,CrossType,Signal_Violation_Behavior
11,83,264,182,1.66031869556036,4.03197019198612,car,StraightCross,No violation of traffic lights
12,33,127,95,1.94113922699934,4.93275099733047,car,StraightCross,No violation of traffic lights
14,119,660,542,1.75509173805811,4.38406205273726,car,StraightCross,No violation of traffic lights
15,149,354,206,0.633616243185293,1.68513992047643,bicycle,StraightCross,red-light running
21,279,488,210,0.657779710712795,1.75394937050421,motorcycle,StraightCross,red-light running
22,388,711,324,0.696847611380705,1.71787813287724,bicycle,StraightCross,red-light running
24,416,759,344,0.637155258271157,1.36298888206928,bicycle,StraightCross,red-light running
25,423,488,66,1.67467536756992,4.29989981898878,car,StraightCross,No violation of traffic lights
26,482,584,103,0.653448386840404,1.601895366211,motorcycle,StraightCross,No violation of traffic lights
28,490,626,137,1.86124262278884,5.00133746139378,car,StraightCross,No violation of traffic lights
29,491,611,121,0.635139169440394,1.67195770698293,bicycle,StraightCross,No violation of traffic lights
31,567,778,212,0.603471217347304,1.58819506990092,bicycle,StraightCross,No violation of traffic lights
32,647,963,317,1.8504885927485,3.82422736588941,car,StraightCross,No violation of traffic lights
33,644,865,222,0.610722862214916,1.51752610520194,bicycle,StraightCross,No violation of traffic lights
34,647,777,131,0.647724536682202,1.39161812047049,motorcycle,StraightCross,No violation of traffic lights
39,759,825,67,1.90509985200668,4.76937169492447,car,StraightCross,No violation of traffic lights
41,800,948,149,0.583309997888252,1.1369690028455,motorcycle,StraightCross,yellow-light running
42,822,968,147,0.650837939820564,1.73585886403943,bicycle,StraightCross,No violation of traffic lights
45,1032,1088,57,1.83182212830475,4.67133224671303,car,StraightCross,No violation of traffic lights
46,1077,1224,148,0.70636095657468,1.77733576594105,motorcycle,StraightCross,red-light running
54,1263,1423,161,0.930576165584727,2.09417257121748,motorcycle,StraightCross,red-light running
56,1281,1345,65,1.81043573809923,4.71165869991847,car,StraightCross,No violation of traffic lights
57,1295,1377,83,1.82805713661823,4.70221915664331,car,StraightCross,No violation of traffic lights
59,1355,1518,164,0.630354005687249,1.49746857277523,motorcycle,StraightCross,No violation of traffic lights
60,1378,1457,80,0.80691155611392,2.02919749500645,motorcycle,StraightCross,No violation of traffic lights
64,1417,1657,241,0.60338841439662,1.45270589784663,motorcycle,StraightCross,No violation of traffic lights
65,1501,1598,98,1.30099250895151,3.01905701831132,car,StraightCross,yellow-light running
67,1568,1752,185,0.650688337673909,1.4926707702023,bicycle,StraightCross,red-light running
68,1577,1693,117,0.778158343940747,1.69132951019709,motorcycle,StraightCross,red-light running
69,1584,1719,136,0.6953463956568,1.38649485797662,motorcycle,StraightCross,red-light running
72,1651,1776,126,0.728788692183439,1.47453694627616,motorcycle,StraightCross,red-light running
74,1662,2060,399,1.84238752962765,4.58833403796032,car,StraightCross,No violation of traffic lights
75,1689,2117,429,1.88345422021263,4.91632405202232,car,StraightCross,No violation of traffic lights
76,1688,2055,368,1.70907951286632,4.23759976685884,car,StraightCross,No violation of traffic lights
77,1687,1762,76,0.715366997271808,1.63532742164352,motorcycle,StraightCross,No violation of traffic lights
81,1752,2081,330,1.79590350421087,4.77603650799122,car,StraightCross,No violation of traffic lights
84,1778,2071,294,1.93110745772165,5.08449160562456,car,StraightCross,No violation of traffic lights
85,1818,1878,61,0.774159853838482,1.85186152795404,motorcycle,StraightCross,No violation of traffic lights
86,1857,2045,189,0.564704638433318,1.2209664518476,motorcycle,StraightCross,No violation of traffic lights
90,2015,2219,205,0.642023937707244,1.61354244243143,bicycle,StraightCross,red-light running
91,2013,2112,100,0.760246410580773,2.07465039039386,motorcycle,StraightCross,No violation of traffic lights
92,2019,2332,314,1.77791006372349,3.32975538675741,car,StraightCross,No violation of traffic lights
