FrameID,timestamp(ms),Traffic light 1,Traffic light 2,Traffic light 3,Traffic light 4,Traffic light 5,Traffic light 6,Traffic light 7,Traffic light 8
-435,-14514.5145145145,0,1,1,0,0,1,1,0
345,11511.5115115115,0,3,3,0,0,3,3,0
434,14481.1478144811,0,0,0,0,0,0,0,0
463,15448.7821154488,1,0,0,1,1,0,0,1
1544,51518.1848515182,3,0,0,3,3,0,0,3
1633,54487.8211544878,0,0,0,0,0,0,0,0
1663,55488.8221554888,0,1,1,0,0,1,1,0
2443,81514.8481815149,0,3,3,0,0,3,3,0
2532,84484.4844844845,0,0,0,0,0,0,0,0
2561,85452.1187854521,1,0,0,1,1,0,0,1
3640,121454.788121455,3,0,0,3,3,0,0,3
3729,124424.424424424,0,0,0,0,0,0,0,0
3760,125458.792125459,0,1,1,0,0,1,1,0
4539,151451.451451451,0,3,3,0,0,3,3,0
4628,154421.087754421,0,0,0,0,0,0,0,0
4658,155422.088755422,1,0,0,1,1,0,0,1
5737,191424.758091425,3,0,0,3,3,0,0,3
5826,194394.394394394,0,0,0,0,0,0,0,0
5856,195395.395395395,0,1,1,0,0,1,1,0
6636,221421.421421421,0,3,3,0,0,3,3,0
6725,224391.057724391,0,0,0,0,0,0,0,0
6755,225392.058725392,1,0,0,1,1,0,0,1
7834,261394.728061395,3,0,0,3,3,0,0,3
7923,264364.364364364,0,0,0,0,0,0,0,0
7954,265398.732065399,0,1,1,0,0,1,1,0
8733,291391.391391391,0,3,3,0,0,3,3,0
8823,294394.394394394,0,0,0,0,0,0,0,0
8853,295395.395395395,1,0,0,1,1,0,0,1
9932,331398.064731398,3,0,0,3,3,0,0,3
10021,334367.701034368,0,0,0,0,0,0,0,0
10051,335368.702035369,0,1,1,0,0,1,1,0
10830,361361.361361361,0,3,3,0,0,3,3,0
10920,364364.364364364,0,0,0,0,0,0,0,0
10950,365365.365365365,1,0,0,1,1,0,0,1
12029,401368.034701368,3,0,0,3,3,0,0,3
12118,404337.671004338,0,0,0,0,0,0,0,0
12148,405338.672005339,0,1,1,0,0,1,1,0
12927,431331.331331331,0,3,3,0,0,3,3,0
13016,434300.967634301,0,0,0,0,0,0,0,0
13047,435335.335335335,1,0,0,1,1,0,0,1
14190,473473.473473474,3,0,0,3,3,0,0,3
14279,476443.109776443,0,0,0,0,0,0,0,0
14310,477477.477477478,0,1,1,0,0,1,1,0
15089,503470.13680347,0,3,3,0,0,3,3,0
15501,517217.217217217,0,0,0,0,0,0,0,0
15531,518218.218218218,1,0,0,1,1,0,0,1
16610,554220.887554221,3,0,0,3,3,0,0,3
16699,557190.523857191,0,0,0,0,0,0,0,0
16957,565799.132465799,0,1,1,0,0,1,1,0
17737,591825.158491825,0,3,3,0,0,3,3,0
17826,594794.794794795,0,0,0,0,0,0,0,0
17856,595795.795795796,1,0,0,1,1,0,0,1
19586,653520.18685352,3,0,0,3,3,0,0,3
19675,656489.82315649,0,0,0,0,0,0,0,0
19705,657490.824157491,0,1,1,0,0,1,1,0
20784,693493.493493494,0,3,3,0,0,3,3,0
20873,696463.129796463,0,0,0,0,0,0,0,0
20902,697430.764097431,1,0,0,1,1,0,0,1
21981,733433.433433433,3,0,0,3,3,0,0,3
22070,736403.069736403,0,0,0,0,0,0,0,0
22412,747814.481147815,0,1,1,0,0,1,1,0
23418,781381.381381381,0,3,3,0,0,3,3,0
23507,784351.017684351,0,0,0,0,0,0,0,0
23537,785352.018685352,1,0,0,1,1,0,0,1
24616,821354.688021355,3,0,0,3,3,0,0,3
24705,824324.324324324,0,0,0,0,0,0,0,0
24735,825325.325325325,0,1,1,0,0,1,1,0
25813,861294.627961295,0,3,3,0,0,3,3,0
25902,864264.264264264,0,0,0,0,0,0,0,0
25932,865265.265265265,1,0,0,1,1,0,0,1
27011,901267.934601268,3,0,0,3,3,0,0,3
27100,904237.570904238,0,0,0,0,0,0,0,0
27131,905271.938605272,0,1,1,0,0,1,1,0
28210,941274.607941275,0,3,3,0,0,3,3,0
28300,944277.610944278,0,0,0,0,0,0,0,0
28330,945278.611945279,1,0,0,1,1,0,0,1
29043,969069.069069069,3,0,0,3,3,0,0,3
29132,972038.705372039,0,0,0,0,0,0,0,0
29162,973039.70637304,0,1,1,0,0,1,1,0
29941,999032.365699032,0,3,3,0,0,3,3,0
30031,1002035.36870204,0,0,0,0,0,0,0,0
30061,1003036.36970304,1,0,0,1,1,0,0,1
30588,1020620.62062062,3,0,0,3,3,0,0,3
30677,1023590.25692359,0,0,0,0,0,0,0,0
30707,1024591.25792459,0,1,1,0,0,1,1,0
31757,1059626.29295963,0,3,3,0,0,3,3,0
31846,1062595.9292626,0,0,0,0,0,0,0,0
31877,1063630.29696363,1,0,0,1,1,0,0,1
32608,1088021.35468802,3,0,0,3,3,0,0,3
32697,1090990.99099099,0,0,0,0,0,0,0,0
32728,1092025.35869203,0,1,1,0,0,1,1,0
33507,1118018.01801802,0,3,3,0,0,3,3,0
33596,1120987.65432099,0,0,0,0,0,0,0,0
33707,1124691.35802469,1,0,0,1,1,0,0,1
34487,1150717.38405072,3,0,0,3,3,0,0,3
34576,1153687.02035369,0,0,0,0,0,0,0,0
34606,1154688.02135469,0,1,1,0,0,1,1,0
35386,1180714.04738071,0,3,3,0,0,3,3,0
35475,1183683.68368368,0,0,0,0,0,0,0,0
35497,1184417.75108442,1,0,0,1,1,0,0,1
36565,1220053.38672005,1,0,0,1,1,0,0,1
