trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,208,209,pedestrain
P2,0,147,148,pedestrain
P3,0,12188,12189,pedestrain
P4,98,209,112,pedestrain
P5,263,500,238,pedestrain
P6,548,779,232,pedestrain
P7,512,613,102,pedestrain
P8,779,1229,451,pedestrain
P9,795,987,193,pedestrain
P10,1201,1703,503,pedestrain
P11,1228,1529,302,pedestrain
P12,1542,2349,808,pedestrain
P13,1624,1692,69,pedestrain
P14,1756,1819,64,pedestrain
P15,1901,2318,418,pedestrain
P16,2174,2306,133,pedestrain
P17,2200,2557,358,pedestrain
P18,2203,2268,66,pedestrain
P19,2208,2562,355,pedestrain
P20,2271,2294,24,pedestrain
P21,2466,2561,96,pedestrain
P22,2543,2565,23,pedestrain
P23,2572,2929,358,pedestrain
P24,2593,3249,657,pedestrain
P25,3302,3431,130,pedestrain
P26,3408,3617,210,pedestrain
P27,3601,4139,539,pedestrain
P28,3870,4227,358,pedestrain
P29,4041,4059,19,pedestrain
P30,4083,4509,427,pedestrain
P31,4168,4456,289,pedestrain
P32,4551,4768,218,pedestrain
P33,4875,4902,28,pedestrain
P34,4924,5248,325,pedestrain
P35,5231,5818,588,pedestrain
P36,5649,6645,997,pedestrain
P37,5688,5867,180,pedestrain
P38,5703,5884,182,pedestrain
P39,5801,6027,227,pedestrain
P40,5795,6021,227,pedestrain
P41,5797,6020,224,pedestrain
P42,5812,6171,360,pedestrain
P43,5947,5963,17,pedestrain
P44,6019,6348,330,pedestrain
P45,6151,6497,347,pedestrain
P46,6166,6527,362,pedestrain
P47,6524,7637,1114,pedestrain
P48,6792,6829,38,pedestrain
P49,6802,6863,62,pedestrain
P50,6855,7083,229,pedestrain
P51,6851,7083,233,pedestrain
P52,6961,6992,32,pedestrain
P53,7021,7050,30,pedestrain
P54,7096,7143,48,pedestrain
P55,7107,7156,50,pedestrain
P56,7388,7676,289,pedestrain
P57,7548,7564,17,pedestrain
P58,7684,7793,110,pedestrain
P59,7679,7761,83,pedestrain
P60,7818,7965,148,pedestrain
P61,8017,11000,2984,pedestrain
P62,8462,8945,484,pedestrain
P63,8498,8926,429,pedestrain
P64,8527,8575,49,pedestrain
P65,8531,8595,65,pedestrain
P66,8961,9389,429,pedestrain
P67,9075,9296,222,pedestrain
P68,9114,9800,687,pedestrain
P69,9246,9390,145,pedestrain
P70,9546,9693,148,pedestrain
P71,9864,10101,238,pedestrain
P72,10609,10974,366,pedestrain
P73,10689,10701,13,pedestrain
P74,10795,10827,33,pedestrain
P75,10809,11090,282,pedestrain
P76,10844,11029,186,pedestrain
P77,10881,10977,97,pedestrain
P78,10964,10980,17,pedestrain
P79,10991,11279,289,pedestrain
P80,11091,12188,1098,pedestrain
P81,11101,11124,24,pedestrain
P82,11157,11267,111,pedestrain
P83,11298,11465,168,pedestrain
P84,11309,11321,13,pedestrain
P85,11370,11519,150,pedestrain
P86,11667,11709,43,pedestrain
P87,11810,11892,83,pedestrain
P88,11932,11947,16,pedestrain
P89,11959,12188,230,pedestrain
P90,12097,12188,92,pedestrain
