FrameID,timestamp(ms),Traffic light 1,Traffic light 2,Traffic light 3,Traffic light 4,Traffic light 5,Traffic light 6,Traffic light 7,Traffic light 8
-55,-1835.16850183517,3,0,0,3,3,0,0,3
35,1167.83450116783,0,0,0,0,0,0,0,0
65,2168.83550216884,0,1,1,0,0,1,1,0
845,28194.8615281949,0,3,3,0,0,3,3,0
934,31164.4978311645,0,0,0,0,0,0,0,0
965,32198.8655321989,1,0,0,1,1,0,0,1
1744,58191.5248581915,3,0,0,3,3,0,0,3
1834,61194.5278611945,0,0,0,0,0,0,0,0
1865,62228.8955622289,0,1,1,0,0,1,1,0
2644,88221.5548882216,0,3,3,0,0,3,3,0
2734,91224.5578912246,0,0,0,0,0,0,0,0
2763,92192.1921921922,1,0,0,1,1,0,0,1
3544,118251.584918252,3,0,0,3,3,0,0,3
3633,121221.221221221,0,0,0,0,0,0,0,0
3663,122222.222222222,0,1,1,0,0,1,1,0
4443,148248.248248248,0,3,3,0,0,3,3,0
4533,151251.251251251,0,0,0,0,0,0,0,0
4562,152218.885552219,1,0,0,1,1,0,0,1
5342,178244.911578245,3,0,0,3,3,0,0,3
5432,181247.914581248,0,0,0,0,0,0,0,0
5462,182248.915582249,0,1,1,0,0,1,1,0
6241,208241.574908242,0,3,3,0,0,3,3,0
6330,211211.211211211,0,0,0,0,0,0,0,0
6360,212212.212212212,1,0,0,1,1,0,0,1
7140,238238.238238238,3,0,0,3,3,0,0,3
7230,241241.241241241,0,0,0,0,0,0,0,0
7260,242242.242242242,0,1,1,0,0,1,1,0
8040,268268.268268268,0,3,3,0,0,3,3,0
8130,271271.271271271,0,0,0,0,0,0,0,0
8159,272238.905572239,1,0,0,1,1,0,0,1
8940,298298.298298298,3,0,0,3,3,0,0,3
9029,301267.934601268,0,0,0,0,0,0,0,0
9059,302268.935602269,0,1,1,0,0,1,1,0
9838,328261.594928262,0,3,3,0,0,3,3,0
9928,331264.597931265,0,0,0,0,0,0,0,0
9958,332265.598932266,1,0,0,1,1,0,0,1
10737,358258.258258258,3,0,0,3,3,0,0,3
10827,361261.261261261,0,0,0,0,0,0,0,0
10857,362262.262262262,0,1,1,0,0,1,1,0
11636,388254.921588255,0,3,3,0,0,3,3,0
11725,391224.557891225,0,0,0,0,0,0,0,0
11755,392225.558892226,1,0,0,1,1,0,0,1
12534,418218.218218218,3,0,0,3,3,0,0,3
12624,421221.221221221,0,0,0,0,0,0,0,0
12654,422222.222222222,0,1,1,0,0,1,1,0
13433,448214.881548215,0,3,3,0,0,3,3,0
13523,451217.884551218,0,0,0,0,0,0,0,0
13553,452218.885552219,1,0,0,1,1,0,0,1
14150,472138.805472139,1,0,0,1,1,0,0,1
