trackId,initialFrame,finalFrame,Frame_nums,width,length,class,CrossType,Signal_Violation_Behavior
10,157,260,104,1.6128693329334618,3.312111022169952,car,StraightCross,No violation of traffic lights
18,26,170,145,0.6658041979157562,1.5501932089761856,motorcycle,StraightCross,No violation of traffic lights
20,122,666,545,1.843055453962674,4.57315688914681,car,StraightCross,No violation of traffic lights
23,146,226,81,0.7384282194108379,1.651522379939842,motorcycle,StraightCross,No violation of traffic lights
25,204,304,101,1.976381932095627,4.994216934087554,car,StraightCross,No violation of traffic lights
26,189,269,81,1.8488996382951197,4.8423815078929415,car,StraightCross,No violation of traffic lights
28,253,634,382,1.8974503740543476,4.952238752386826,car,StraightCross,No violation of traffic lights
33,358,479,122,0.816830010383907,2.25639329968491,tricycle,StraightCross,red-light running
34,421,782,362,0.6651308449818808,1.882739486777892,bicycle,StraightCross,No violation of traffic lights
35,465,545,81,0.720276903898718,1.4835367362438392,motorcycle,StraightCross,No violation of traffic lights
37,551,758,208,0.691576501228649,1.6697419344765871,bicycle,StraightCross,No violation of traffic lights
39,566,743,178,0.6464903581115259,1.6396944773658682,bicycle,StraightCross,No violation of traffic lights
40,578,695,118,1.878505757450477,4.834367763171023,car,StraightCross,No violation of traffic lights
41,602,918,317,0.6394634283228093,1.7002957905104392,bicycle,StraightCross,No violation of traffic lights
43,656,843,188,1.0498731850499845,2.257735025975819,tricycle,StraightCross,red-light running
44,659,730,72,1.9185778522254757,4.801981121434905,car,StraightCross,No violation of traffic lights
51,783,875,93,1.484340004335718,2.601198275764116,tricycle,StraightCross,yellow-light running
54,840,899,60,0.7855590348870731,1.6492080090764936,motorcycle,StraightCross,No violation of traffic lights
56,849,981,133,0.6996323858573128,1.832263938612819,motorcycle,StraightCross,red-light running
59,858,1410,553,1.7883495359662152,4.677310286325401,car,StraightCross,No violation of traffic lights
61,887,1323,437,0.7329357665144663,1.504307381752911,motorcycle,StraightCross,red-light running
62,904,1166,263,0.5896425460463881,1.5856861799438806,bicycle,StraightCross,red-light running
63,897,1337,441,1.5714919786411923,2.8852605401626574,car,StraightCross,No violation of traffic lights
65,936,1348,413,1.6683898375283623,4.4846933336295605,car,StraightCross,No violation of traffic lights
66,939,1268,330,0.6480183156335538,1.6500679822838733,bicycle,StraightCross,red-light running
68,946,1045,100,0.6752350767823428,1.6592573726685798,bicycle,StraightCross,No violation of traffic lights
71,983,1195,213,0.6354742574687265,1.7140259326059433,bicycle,StraightCross,red-light running
73,1042,1373,332,1.7717640575654081,4.610965969130545,car,StraightCross,No violation of traffic lights
75,1092,1220,129,0.6304490279565895,1.6273760931736039,bicycle,StraightCross,No violation of traffic lights
77,1217,1385,169,1.9867583226013317,5.046396030232605,car,StraightCross,No violation of traffic lights
79,1220,1341,122,0.7281662255698012,1.6587471906206799,motorcycle,StraightCross,No violation of traffic lights
83,1324,1404,81,1.6588597634772893,3.535366183675429,car,StraightCross,No violation of traffic lights
84,1364,1478,115,0.7029136906357561,1.6675801850576562,motorcycle,StraightCross,No violation of traffic lights
85,1460,1617,158,2.0806139217380815,4.658528801447021,car,StraightCross,No violation of traffic lights
88,1622,2093,472,0.8609799828812444,1.7283228191470292,motorcycle,StraightCross,No violation of traffic lights
89,1647,1685,39,1.8363388923330182,4.590118020291121,car,StraightCross,No violation of traffic lights
92,1707,2059,353,1.8669609355275336,4.672381656355395,car,StraightCross,No violation of traffic lights
93,1727,1772,46,1.8373828497461593,4.716711276151813,car,StraightCross,No violation of traffic lights
95,1759,1797,39,0.8246873859878867,1.940714003091512,motorcycle,StraightCross,No violation of traffic lights
97,1773,1918,146,0.6538734683338789,1.6472543676688318,bicycle,StraightCross,No violation of traffic lights
98,1782,2049,268,1.7465151990239705,4.674811324704337,car,StraightCross,No violation of traffic lights
99,1794,1898,105,1.8750370240717702,4.658249634216451,car,StraightCross,No violation of traffic lights
102,1817,1919,103,1.8383620110145944,4.733894611770909,car,StraightCross,No violation of traffic lights
103,1859,2025,167,0.8748941456987737,1.4622381652837273,motorcycle,StraightCross,red-light running
104,1881,2083,203,1.8329486706611073,4.756917122341124,car,StraightCross,No violation of traffic lights
106,1913,2035,123,0.8058522914501431,2.111339753708207,motorcycle,StraightCross,No violation of traffic lights
107,1920,1990,71,0.7264586941443719,1.515474323490398,motorcycle,StraightCross,yellow-light running
112,2054,2179,126,0.825085083296379,1.4829727761403688,motorcycle,StraightCross,red-light running
113,2072,2141,70,1.9534750837177517,4.785381872510678,car,StraightCross,No violation of traffic lights
114,2081,2226,146,0.6667706930671128,1.697667064174336,bicycle,StraightCross,red-light running
115,2126,2282,157,0.7924942280177988,1.6807929785246642,motorcycle,StraightCross,No violation of traffic lights
116,2152,2252,101,0.8259832114270825,2.0679278992475143,motorcycle,StraightCross,No violation of traffic lights
117,2154,2247,94,1.8110586706785112,4.516497903881147,car,StraightCross,No violation of traffic lights
118,2154,2398,245,0.9260024035633282,1.460611173392051,motorcycle,StraightCross,No violation of traffic lights
120,2204,2518,315,0.8439673923675964,1.5802930222715228,motorcycle,StraightCross,red-light running
122,2236,2755,520,0.9228696525980791,1.7785646448730255,motorcycle,StraightCross,No violation of traffic lights
124,2288,2352,65,1.8528177252528177,4.739012382270769,car,StraightCross,No violation of traffic lights
125,2312,2392,81,0.7524036273563223,1.9239884720138825,motorcycle,StraightCross,No violation of traffic lights
131,2442,2553,112,0.6320708984170192,1.7087454971374245,bicycle,StraightCross,No violation of traffic lights
133,2530,2700,171,1.4508849551594654,2.9980863950204966,tricycle,StraightCross,red-light running
135,2564,2624,61,1.8120220872371968,4.732990077935131,car,StraightCross,No violation of traffic lights
136,2573,2648,76,0.5839441204981938,1.0739352669998083,bicycle,StraightCross,No violation of traffic lights
137,2590,2760,171,0.9944559608084244,2.864731386183854,tricycle,StraightCross,red-light running
138,2609,2717,109,0.8432356751201696,1.9860871094140067,motorcycle,StraightCross,No violation of traffic lights
143,2635,2772,138,1.7669227075898664,4.671373368077895,car,StraightCross,No violation of traffic lights
144,2633,2752,120,0.7513846688819168,1.7506094385232198,bicycle,StraightCross,red-light running
146,2699,2800,102,0.8696168497487674,1.992125260364521,motorcycle,StraightCross,red-light running
148,2737,2871,135,0.8199689825864706,2.135960484355116,motorcycle,StraightCross,No violation of traffic lights
150,2758,2881,124,0.6783572008663985,1.5689467218051354,motorcycle,StraightCross,red-light running
153,2884,2947,64,1.7052334600570787,4.339007870744123,car,StraightCross,No violation of traffic lights
156,2982,3165,184,0.7917894295609016,1.5376471896975858,motorcycle,StraightCross,red-light running
157,3015,3156,142,0.6364469012091151,1.556658544798169,motorcycle,StraightCross,red-light running
160,3139,3212,74,0.782808196075843,2.089491262083245,motorcycle,StraightCross,red-light running
162,3203,3281,79,0.6858336693985944,1.755753579220093,bicycle,StraightCross,No violation of traffic lights
163,3224,3388,165,0.66700985381841,1.778477063519403,bicycle,StraightCross,No violation of traffic lights
