trackId,initialFrame,finalFrame,Frame_nums,width,length,class,CrossType,Signal_Violation_Behavior
2,0,285,286,0.6886056454590038,1.6158317355506155,bicycle,StraightCross,No violation of traffic lights
3,0,282,283,0.622431121855334,1.5561480419620035,bicycle,StraightCross,No violation of traffic lights
9,0,220,221,0.7070561595512261,1.638509334873509,bicycle,StraightCross,No violation of traffic lights
14,0,6292,6293,2.2124181720445435,2.6613126530479243,tricycle,StraightCross,No violation of traffic lights
15,11,232,222,1.750535382623108,4.543174293262782,car,StraightCross,No violation of traffic lights
21,0,100,101,1.8733102766839282,4.789110845185463,car,StraightCross,No violation of traffic lights
25,44,346,303,0.6958247049343663,1.6071535235292156,motorcycle,StraightCross,No violation of traffic lights
27,56,281,226,0.6370676325898982,1.6052828165168644,motorcycle,StraightCross,No violation of traffic lights
28,66,281,216,0.6796369152334105,1.7572357023140068,bicycle,StraightCross,yellow-light running
29,82,161,80,1.7807725333544788,4.72893288315327,car,StraightCross,yellow-light running
30,99,350,252,0.6389130789338208,1.6320414534530883,bicycle,StraightCross,No violation of traffic lights
31,101,184,84,2.039405649380394,5.410358835274925,car,StraightCross,yellow-light running
39,275,632,358,0.701977212786493,1.6462714630991282,bicycle,StraightCross,red-light running
44,352,673,322,1.8802347795266563,4.833090197589591,car,StraightCross,No violation of traffic lights
45,416,568,153,0.6748960849462299,1.775344882793897,bicycle,StraightCross,No violation of traffic lights
46,490,638,149,1.781908330813739,4.752887538309934,car,StraightCross,No violation of traffic lights
47,531,599,69,0.7321093943945373,1.6314934890199106,motorcycle,StraightCross,red-light running
48,552,672,121,0.7706691368630728,2.021663631935941,motorcycle,StraightCross,No violation of traffic lights
49,571,659,89,1.692948243005676,4.427763322878665,car,StraightCross,No violation of traffic lights
50,574,915,342,0.9030019155939981,2.368658734544161,tricycle,StraightCross,No violation of traffic lights
52,865,981,117,1.864973785716091,4.544839124475608,car,StraightCross,No violation of traffic lights
55,690,770,81,1.7373395005650156,4.229319052248345,car,StraightCross,No violation of traffic lights
56,719,818,100,1.8548185558348471,4.928918376534386,car,StraightCross,No violation of traffic lights
59,766,842,77,1.8154192526549437,4.816793487861051,car,StraightCross,No violation of traffic lights
61,785,853,69,1.9375916924006706,4.853907240309165,car,StraightCross,yellow-light running
62,827,1349,523,1.9524055572822927,4.88666038312169,car,StraightCross,No violation of traffic lights
64,880,1089,210,0.7661522495251948,1.5788099054528215,bicycle,StraightCross,red-light running
66,910,1005,96,1.8762078539390117,4.741160531439926,car,StraightCross,No violation of traffic lights
68,950,1118,169,0.8380430908512397,1.5050787171932578,motorcycle,StraightCross,red-light running
69,946,1097,152,0.760008277629254,1.7291559353512345,motorcycle,StraightCross,red-light running
70,1017,1504,488,1.8983857598842253,4.847007686451532,car,StraightCross,No violation of traffic lights
71,1046,1338,293,1.9269230319032924,5.11731879732752,car,StraightCross,No violation of traffic lights
74,1134,1414,281,1.6006587415942721,4.404380178146311,car,StraightCross,No violation of traffic lights
75,1156,1235,80,0.724323481592978,1.8690162004231237,bicycle,StraightCross,No violation of traffic lights
79,1245,1668,424,0.6715980421989394,1.7487201292355836,bicycle,StraightCross,red-light running
81,1311,1447,137,0.7008862780896681,1.1454266144623553,motorcycle,StraightCross,No violation of traffic lights
82,1326,1469,144,0.7525254783496459,1.6797467315502757,motorcycle,StraightCross,red-light running
83,1391,1909,519,0.7153574401391952,1.6893022992978814,motorcycle,StraightCross,No violation of traffic lights
85,1434,1514,81,1.7345207279231782,4.418982286573409,car,StraightCross,No violation of traffic lights
86,1461,1528,68,1.8205599116625109,4.771796137233342,car,StraightCross,No violation of traffic lights
87,1472,1676,205,0.6464776137847572,1.7058883251006887,bicycle,StraightCross,yellow-light running
88,1478,1572,95,0.6682088164963359,1.2986171679216694,motorcycle,StraightCross,red-light running
89,1509,1738,230,0.6543658748857124,1.716840795458489,bicycle,StraightCross,No violation of traffic lights
92,1604,1676,73,1.7519801524990621,4.5466222192942185,car,StraightCross,No violation of traffic lights
93,1637,1702,66,1.9853410887374656,4.890632955746733,car,StraightCross,No violation of traffic lights
94,1667,1779,113,0.7365929079337598,2.092454990860274,motorcycle,StraightCross,red-light running
97,1769,2024,256,0.6532131876810764,1.4113046118659927,bicycle,StraightCross,red-light running
98,1806,2006,201,0.664637772668639,1.7420971937316478,bicycle,StraightCross,red-light running
100,1880,2416,537,0.7562184087379964,1.5944904225153222,bicycle,StraightCross,No violation of traffic lights
101,1880,2014,135,0.7378925894225818,1.7797827212532569,motorcycle,StraightCross,red-light running
102,1885,2025,141,0.6403198774750768,1.3410074656400561,motorcycle,StraightCross,No violation of traffic lights
103,1888,1949,62,0.6156972778462786,1.592425830264268,bicycle,StraightCross,No violation of traffic lights
104,1947,2337,391,0.7426273566473943,1.647014704333095,bicycle,StraightCross,red-light running
110,2056,2369,314,0.6850021489432002,1.6590941967506867,bicycle,StraightCross,red-light running
111,2059,2371,313,0.674379047697923,1.6801810911279835,bicycle,StraightCross,red-light running
