id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
15286,4.46,1.69,1558,1864,307,car,1,138.36,-14.01,0.14,-13.57,19.88,1.44,0.00,1
15287,4.09,1.72,1568,1806,239,car,1,138.07,-18.13,0.20,-17.44,14.92,0.90,0.00,0
15288,4.16,1.69,1577,1791,215,car,1,137.10,-19.89,0.42,-19.27,5.89,0.30,0.00,1
15289,4.13,1.65,1592,2904,1313,car,2,98.12,1.28,0.07,2.23,2.70,0.85,0.00,0
15290,5.29,2.21,1598,1842,245,truck,1,135.71,-18.83,0.01,-16.93,15.60,0.93,0.00,0
15291,3.98,1.72,1610,1868,259,car,1,137.44,-16.17,0.27,-16.00,20.06,1.24,0.00,0
15292,4.16,1.63,1616,1844,229,car,1,137.40,-18.56,0.42,-18.10,19.43,1.05,-120.90,0
15293,4.39,1.61,1636,2591,956,car,2,138.86,0.28,0.10,4.31,1.54,0.76,0.00,0
15294,4.31,1.69,1650,2116,467,car,2,138.60,7.75,0.08,8.82,37.35,4.16,0.00,0
15295,5.29,2.27,1667,1961,295,truck,1,135.99,-16.57,0.26,-14.07,37.95,2.65,0.00,0
15296,4.20,1.57,1708,2673,966,car,2,138.71,0.23,0.14,4.30,1.24,1.27,0.00,0
15297,4.35,1.69,1714,1955,242,car,1,137.42,-18.13,0.40,-17.18,54.75,3.02,0.00,0
15298,11.55,2.25,1719,2904,1186,truck,2,68.70,1.05,0.02,1.75,0.07,0.05,0.00,5
15299,4.24,1.57,1726,2190,465,car,2,138.66,6.34,0.13,8.84,18.86,2.04,0.00,0
15300,4.13,1.69,1740,2046,307,car,1,138.32,-14.34,0.34,-13.58,65.33,4.56,-39.33,0
15301,15.94,2.85,1766,2059,294,truck,1,130.74,-13.64,0.02,-12.96,87.11,6.96,-30.26,0
15302,4.16,1.65,1786,2277,492,car,2,139.12,6.76,0.06,8.38,12.30,1.44,0.00,0
15303,11.93,2.25,1796,2904,1109,truck,2,51.11,0.67,0.06,1.42,1.24,1.69,0.00,0
15304,14.93,2.62,1805,2112,308,truck,1,131.08,-13.00,0.18,-12.39,21.68,1.69,-70.85,0
15305,4.54,1.72,1817,2904,1088,car,2,105.84,0.39,0.11,2.93,1.39,0.59,0.00,0
15306,4.65,1.69,1821,2071,251,car,1,137.51,-17.71,0.46,-16.58,57.07,3.24,0.00,0
15307,4.13,1.61,1827,2791,965,car,2,139.44,1.45,0.14,4.30,7.05,3.04,0.00,0
15308,3.75,1.37,1829,2333,505,car,2,138.54,7.74,0.13,8.21,7.61,0.94,0.00,0
15309,4.16,1.61,1861,2104,244,car,1,137.53,-18.13,0.48,-17.04,13.35,0.81,0.00,0
15310,14.55,2.83,1875,2166,292,truck,1,131.76,-13.81,0.41,-13.13,32.59,2.37,0.00,0
15311,3.98,1.69,1878,2191,314,car,1,137.96,-15.04,0.52,-13.29,18.15,1.40,0.00,0
15312,10.65,2.21,1906,2849,944,bus,2,134.94,1.44,0.07,4.25,1.88,1.03,0.00,0
15313,4.13,1.54,1908,2396,489,car,2,138.86,6.77,0.14,8.43,13.31,1.66,0.00,0
15314,4.31,1.82,1914,2186,273,truck,1,132.56,-15.90,0.86,-14.72,2.80,0.18,-7.66,1
15315,3.90,1.54,1928,2166,239,car,1,137.40,-17.86,0.40,-17.35,31.61,1.84,0.00,0
15316,5.40,2.02,1952,2255,304,truck,1,136.31,-15.72,0.35,-13.64,24.64,1.85,0.00,0
15317,3.49,1.46,1962,2455,494,car,2,139.50,7.79,0.12,8.45,8.66,1.09,0.00,0
15318,5.48,2.59,1965,2277,313,truck,1,135.92,-15.72,0.15,-13.26,19.46,1.24,0.00,0
15319,4.09,1.69,1990,2243,254,car,1,137.94,-16.84,0.10,-16.32,0.00,0.00,0.00,0
15320,4.35,1.65,2002,2904,903,car,2,131.31,1.26,0.06,4.35,3.38,1.53,0.00,0
15321,5.74,2.48,2021,2323,303,truck,1,136.05,-16.42,0.04,-13.73,14.10,1.08,0.00,0
15322,4.50,1.61,2027,2527,501,car,2,139.05,6.07,0.14,8.21,15.11,1.80,0.00,0
15323,4.05,1.69,2029,2305,277,car,1,137.79,-17.14,0.20,-15.07,18.49,1.30,0.00,0
15326,9.08,3.04,2076,2363,288,truck,1,134.76,-14.57,0.20,-13.83,41.44,3.28,-33.07,0
