id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
15387,4.54,1.76,2758,2904,147,car,1,85.61,-18.55,0.42,-17.69,26.59,1.55,17.04,0
15390,6.23,2.55,2767,2904,138,truck,1,66.94,-15.87,0.33,-14.79,83.59,5.27,0.00,0
15392,4.31,1.65,2778,2904,127,car,1,80.27,-19.23,0.17,-19.06,47.14,2.45,11.68,0
15391,5.89,1.61,2778,2904,127,truck,2,7.18,1.35,0.14,1.89,3.86,2.31,-161.35,0
15393,4.43,1.57,2790,2904,115,car,2,16.48,4.11,-0.07,4.26,14.29,3.24,0.00,0
15394,4.35,1.57,2797,2904,108,car,2,7.16,1.48,0.07,2.01,4.01,2.06,-23.02,0
15396,4.28,1.69,2804,2904,101,car,1,60.13,-18.38,0.35,-18.05,11.81,0.67,-19.18,0
15395,7.35,2.21,2806,2824,19,truck,2,1.39,2.85,-0.00,2.88,10.28,3.53,-8.57,0
15389,4.31,1.50,2814,2904,91,car,2,3.36,0.99,0.07,1.13,1.91,1.94,-5.48,0
15397,4.39,1.71,2819,2904,86,car,1,47.61,-16.87,0.53,-16.81,31.84,1.89,-93.16,0
15398,12.90,2.85,2827,2904,78,truck,1,36.64,-13.64,-0.01,-12.09,20.21,1.48,-38.84,0
15399,12.04,2.36,2837,2904,68,bus,2,9.26,2.98,0.01,3.71,8.51,2.12,0.00,0
15400,4.91,1.72,2870,2904,35,car,1,18.99,-16.87,0.24,-16.84,24.64,1.46,308.03,0
15401,7.32,2.25,2880,2904,25,truck,1,11.55,-14.17,0.16,-14.14,16.50,1.17,23.80,0
