trackId,initialFrame,finalFrame,Frame_nums,width,length,class,CrossType,Signal_Violation_Behavior
129,2778,2923,146,0.680843040215484,1.6878785803337966,motorcycle,StraightCross,No violation of traffic lights
130,2787,2830,44,1.859559585380478,4.702071558131085,car,StraightCross,yellow-light running
131,2805,2896,92,1.9549263243573123,4.749594058621633,car,StraightCross,No violation of traffic lights
134,2846,2949,104,1.8885666330767996,4.90389939172905,car,StraightCross,No violation of traffic lights
135,2852,2981,130,1.9144265661514481,4.871181093288051,car,StraightCross,No violation of traffic lights
136,2908,3031,124,1.0412818522807747,1.9477730549078998,motorcycle,StraightCross,No violation of traffic lights
138,2915,2998,84,1.7873318310801423,4.710748757728715,car,StraightCross,No violation of traffic lights
141,2958,3098,141,1.7025357745321439,4.308910454641264,car,StraightCross,No violation of traffic lights
142,2980,3183,204,0.6695661320560129,1.6266707447387647,bicycle,StraightCross,No violation of traffic lights
143,2982,3224,243,0.6474125419418986,1.7443716158768634,bicycle,StraightCross,No violation of traffic lights
145,2993,3101,109,0.7283304204223695,1.4521652835585475,motorcycle,StraightCross,No violation of traffic lights
147,3071,3279,209,0.6492557252241014,1.6085248839834636,bicycle,StraightCross,red-light running
148,3085,3221,137,0.6693737445255837,1.5095969288659188,motorcycle,StraightCross,red-light running
150,3098,3616,519,1.7643523624412698,4.446782403485464,car,StraightCross,No violation of traffic lights
153,3154,3415,262,0.6460824554448887,1.6838361254662584,bicycle,StraightCross,red-light running
154,3158,3420,263,0.6390817629798511,1.6215832900869693,bicycle,StraightCross,red-light running
157,3214,3263,50,1.8216077898486458,4.7217893028283,car,StraightCross,No violation of traffic lights
158,3226,3286,61,1.7936331125688845,4.75268431856423,car,StraightCross,No violation of traffic lights
160,3223,3335,113,0.8449650117980783,1.723884081470814,motorcycle,StraightCross,No violation of traffic lights
161,3243,3408,166,0.6572803232091484,1.5016843862312355,motorcycle,StraightCross,red-light running
163,3279,3356,78,1.8215201264086271,4.307525793410207,car,StraightCross,No violation of traffic lights
164,3283,3438,156,0.7457157128868288,1.6403556801749617,motorcycle,StraightCross,red-light running
166,3332,3555,224,0.7039760301270765,1.7591879298227693,motorcycle,StraightCross,red-light running
167,3362,3623,262,1.898328364451104,4.951345761502539,car,StraightCross,No violation of traffic lights
168,3381,3451,71,0.6425578060436344,1.6046389823123992,bicycle,StraightCross,No violation of traffic lights
170,3419,3697,279,2.0576847598101087,5.287747201672012,car,StraightCross,No violation of traffic lights
171,3449,3564,116,0.8978850447932701,1.641565682539118,motorcycle,StraightCross,red-light running
172,3454,3681,228,0.5754784925923815,1.4074450883666596,bicycle,StraightCross,No violation of traffic lights
180,3609,3690,82,1.7579681976178927,4.532391116115239,car,StraightCross,No violation of traffic lights
181,3610,3763,154,1.3461611383037224,2.582386867604716,tricycle,StraightCross,No violation of traffic lights
184,3688,3803,116,1.4140839889407337,2.544821022429442,tricycle,StraightCross,No violation of traffic lights
186,3796,4317,522,1.740625033184263,4.569895874972064,car,StraightCross,No violation of traffic lights
187,3789,4333,545,1.9435182391372725,4.794441556770238,car,StraightCross,No violation of traffic lights
191,3904,4361,458,1.8710614346553383,4.942012530934839,car,StraightCross,No violation of traffic lights
193,3927,3967,41,0.8308684058723401,1.8130853814696715,motorcycle,StraightCross,No violation of traffic lights
197,4027,4093,67,1.724116902910313,4.290881908254561,car,StraightCross,No violation of traffic lights
198,4035,4176,142,0.6775903488198736,1.5464006913418566,motorcycle,StraightCross,red-light running
199,4054,4106,53,1.611553490379294,4.174491436222656,car,StraightCross,No violation of traffic lights
200,4073,4165,93,0.7493958551023076,1.6423898888772417,motorcycle,StraightCross,No violation of traffic lights
205,4233,4434,202,0.6484437085060745,1.5666736161270152,bicycle,StraightCross,No violation of traffic lights
206,4266,4344,79,1.6610046149930902,3.7993793466286006,car,StraightCross,No violation of traffic lights
207,4287,4484,198,0.8958313848724141,1.6385369209172203,motorcycle,StraightCross,No violation of traffic lights
210,4545,4620,76,1.7765360751936778,4.70649945248465,car,StraightCross,No violation of traffic lights
211,4388,4469,82,1.8331187878907331,4.762870383250071,car,StraightCross,No violation of traffic lights
213,4427,4621,195,1.836187348597129,2.9242631840819255,car,StraightCross,No violation of traffic lights
214,4438,4712,275,0.7390061188222303,1.6199392771898895,bicycle,StraightCross,yellow-light running
215,4468,4582,115,0.7322986455683378,1.571665581787035,motorcycle,StraightCross,red-light running
218,4577,4640,64,1.8038761597556174,4.677363470761481,car,StraightCross,No violation of traffic lights
219,4613,4847,235,0.6837509846704405,1.6169648835853097,bicycle,StraightCross,red-light running
220,4622,4685,64,1.9031307004082676,4.69039090879625,car,StraightCross,No violation of traffic lights
224,4751,5064,314,0.6592083064858836,1.6972466808744493,bicycle,StraightCross,red-light running
229,4933,5025,93,1.8809674144773412,4.812692544694423,car,StraightCross,No violation of traffic lights
