FrameID,timestamp(ms),Traffic light 1,Traffic light 2,Traffic light 3,Traffic light 4,Traffic light 5,Traffic light 6,Traffic light 7,Traffic light 8
-478,-15949.2826159493,0,1,1,0,0,1,1,0
299,9976.64330997664,0,3,3,0,0,3,3,0
389,12979.6463129796,0,0,0,0,0,0,0,0
418,13947.2806139473,1,0,0,1,1,0,0,1
1498,49983.3166499833,3,0,0,3,3,0,0,3
1588,52986.3196529863,0,0,0,0,0,0,0,0
1617,53953.953953954,0,1,1,0,0,1,1,0
2397,79979.97997998,0,3,3,0,0,3,3,0
2486,82949.6162829496,0,0,0,0,0,0,0,0
2516,83950.6172839506,1,0,0,1,1,0,0,1
3595,119953.286619953,3,0,0,3,3,0,0,3
3684,122922.922922923,0,0,0,0,0,0,0,0
3714,123923.923923924,0,1,1,0,0,1,1,0
4493,149916.583249917,0,3,3,0,0,3,3,0
4584,152952.952952953,0,0,0,0,0,0,0,0
4614,153953.953953954,1,0,0,1,1,0,0,1
5693,189956.623289957,3,0,0,3,3,0,0,3
5783,192959.62629296,0,0,0,0,0,0,0,0
5814,193993.993993994,0,1,1,0,0,1,1,0
6593,219986.653319987,0,3,3,0,0,3,3,0
6683,222989.65632299,0,0,0,0,0,0,0,0
6713,223990.657323991,1,0,0,1,1,0,0,1
7792,259993.326659993,3,0,0,3,3,0,0,3
7882,262996.329662996,0,0,0,0,0,0,0,0
7911,263963.963963964,0,1,1,0,0,1,1,0
8692,290023.356690023,0,3,3,0,0,3,3,0
8782,293026.359693026,0,0,0,0,0,0,0,0
8811,293993.993993994,1,0,0,1,1,0,0,1
9891,330030.03003003,3,0,0,3,3,0,0,3
9981,333033.033033033,0,0,0,0,0,0,0,0
10011,334034.034034034,0,1,1,0,0,1,1,0
10790,360026.693360027,0,3,3,0,0,3,3,0
10879,362996.329662996,0,0,0,0,0,0,0,0
10909,363997.330663997,1,0,0,1,1,0,0,1
11989,400033.366700033,3,0,0,3,3,0,0,3
12078,403003.003003003,0,0,0,0,0,0,0,0
12108,404004.004004004,0,1,1,0,0,1,1,0
12887,429996.663329997,0,3,3,0,0,3,3,0
12977,432999.666333,0,0,0,0,0,0,0,0
13007,434000.667334001,1,0,0,1,1,0,0,1
14085,469969.96996997,3,0,0,3,3,0,0,3
14175,472972.972972973,0,0,0,0,0,0,0,0
14205,473973.973973974,0,1,1,0,0,1,1,0
14984,499966.633299967,0,3,3,0,0,3,3,0
15075,503003.003003003,0,0,0,0,0,0,0,0
15105,504004.004004004,1,0,0,1,1,0,0,1
16154,539005.672339006,3,0,0,3,3,0,0,3
16244,542008.675342009,0,0,0,0,0,0,0,0
16274,543009.67634301,0,1,1,0,0,1,1,0
17053,569002.335669002,0,3,3,0,0,3,3,0
17143,572005.338672005,0,0,0,0,0,0,0,0
17173,573006.339673006,1,0,0,1,1,0,0,1
18253,609042.375709042,3,0,0,3,3,0,0,3
18343,612045.378712045,0,0,0,0,0,0,0,0
18373,613046.379713046,0,1,1,0,0,1,1,0
19152,639039.039039039,0,3,3,0,0,3,3,0
19242,642042.042042042,0,0,0,0,0,0,0,0
19271,643009.67634301,1,0,0,1,1,0,0,1
20349,678978.978978979,3,0,0,3,3,0,0,3
20439,681981.981981982,0,0,0,0,0,0,0,0
20469,682982.982982983,0,1,1,0,0,1,1,0
21248,708975.642308976,0,3,3,0,0,3,3,0
21339,712012.012012012,0,0,0,0,0,0,0,0
21368,712979.64631298,1,0,0,1,1,0,0,1
22447,748982.315648982,3,0,0,3,3,0,0,3
22536,751951.951951952,0,0,0,0,0,0,0,0
22566,752952.952952953,0,1,1,0,0,1,1,0
23344,778912.245578912,0,3,3,0,0,3,3,0
23434,781915.248581915,0,0,0,0,0,0,0,0
23464,782916.249582916,1,0,0,1,1,0,0,1
24543,818918.918918919,3,0,0,3,3,0,0,3
21633,721821.821821822,0,0,0,0,0,0,0,0
24663,822922.922922923,0,1,1,0,0,1,1,0
25442,848915.582248916,0,3,3,0,0,3,3,0
25533,851951.951951952,0,0,0,0,0,0,0,0
25562,852919.58625292,1,0,0,1,1,0,0,1
26640,888888.888888889,3,0,0,3,3,0,0,3
26730,891891.891891892,0,0,0,0,0,0,0,0
26760,892892.892892893,0,1,1,0,0,1,1,0
27540,918918.918918919,0,3,3,0,0,3,3,0
27630,921921.921921922,0,0,0,0,0,0,0,0
27659,922889.55622289,1,0,0,1,1,0,0,1
28739,958925.592258926,3,0,0,3,3,0,0,3
28829,961928.595261929,0,0,0,0,0,0,0,0
28858,962896.229562896,0,1,1,0,0,1,1,0
29638,988922.255588922,0,3,3,0,0,3,3,0
29727,991891.891891892,0,0,0,0,0,0,0,0
29757,992892.892892893,1,0,0,1,1,0,0,1
30835,1028862.19552886,3,0,0,3,3,0,0,3
30925,1031865.19853187,0,0,0,0,0,0,0,0
30955,1032866.19953287,0,1,1,0,0,1,1,0
31069,1036670.00333667,0,1,1,0,0,1,1,0
